#{"t_start": 1587269478.2896154, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.000979,999,1103.966048
-0.00115,999,1105.211678
-0.000965,999,1106.502182
-0.000902,999,1107.81461
-0.001015,999,1109.104121
-0.000979,999,1110.386651
-0.000951,999,1111.59698
-0.000939,999,1112.896854
-0.001021,999,1114.208651
-0.001211,999,1115.494121
-0.001059,999,1116.784634
-0.001141,999,1118.06956
-0.001575,999,1119.314293
-0.001349,999,1120.65084
-0.001164,999,1121.961123
-0.001128,999,1123.269326
-0.000936,999,1124.530998
-0.000939,999,1125.749712
-0.000914,999,1127.052767
-0.000936,999,1128.360489
-0.000987,999,1129.666911
-0.001032,999,1130.967181
-0.00088,999,1132.19195
-0.001062,999,1133.499125
-0.001064,999,1134.79448
-0.000999,999,1136.05916
-0.001036,999,1137.363052
-0.000886,999,1138.566272
-0.001081,999,1139.866993
-0.000796,999,1141.171212
-0.00079,999,1142.454147
-0.000795,999,1143.75737
-0.000745,999,1144.975341
-0.000802,999,1146.258652
-0.000733,999,1147.526511
-0.000763,999,1148.829498
-0.000728,999,1150.141002
-0.000709,999,1151.386783
-0.000782,999,1152.709488
-0.000994,999,1154.015441
-0.000955,999,1155.300521
-0.000947,999,1156.582963
-0.000704,999,1157.835413
-0.00082,999,1159.113506
-0.000874,999,1160.415951
-0.000792,999,1161.693691
-0.000766,999,1162.998154
-0.00084,999,1164.236655
-0.001224,999,1165.539913
-0.001171,999,1166.847893
-0.000864,999,1168.154948
-0.000772,999,1169.468414
-0.000699,999,1170.779077
-0.000705,999,1172.021106
-0.000814,999,1173.326356
-0.000791,999,1174.633132
-0.000704,999,1175.948661
-0.000815,999,1177.267838
-0.000938,999,1178.535238
-0.001073,999,1179.80256
-0.001402,999,1181.135516
-0.001777,999,1182.424192
-0.001158,999,1183.693569
-0.00081,999,1184.882554
-0.000869,999,1186.131132
-0.0011,999,1187.397975
-0.000784,999,1188.648783
-0.00077,999,1189.925133
-0.0008,999,1191.12736
-0.000797,999,1192.409563
-0.000788,999,1193.712477
-0.000731,999,1195.001825
-0.000814,999,1196.294158
-0.000732,999,1197.50489
-0.000794,999,1198.793014
-0.000753,999,1200.08656
-0.000691,999,1201.375916
-0.000696,999,1202.675855
-0.000728,999,1203.912221
-0.000734,999,1205.240556
-0.00086,999,1206.494331
-0.000808,999,1207.767777
-0.000782,999,1209.004307
-0.000701,999,1210.211731
-0.000766,999,1211.463552
